ID,LINE,STATIONA,STATIONB,UNIMPEDED,PEAK,OFFPEAK
429,2,NAC,EAC,1.5,1.75,1.75
430,2,NAC,HLN,2.87,3.15,3
431,2,NAC,WAC,2.52,2.85,2.76
432,6,NEA,DHL,1.43,1.5,1.5
433,6,NEA,WPK,2.65,3.76,3.53
434,9,NEL,ECM,1.65,2.5,2.5
435,9,NEL,PRY,1.67,2,2
436,2,NEP,BDE,1.55,1.75,1.75
437,2,NEP,GHL,2.73,3,3
438,9,NFD,BOS,1.55,2,2
439,9,NFD,SEL,0.98,1.5,1.5
440,6,NGW,CNT,2.15,2.5,2.5
441,6,NGW,CWF,1.98,2.55,2.5
442,4,NHG,BAY,1.77,2,2
443,3,NHG,BAY,1.77,2,2
444,2,NHG,HPK,1.18,1.5,1.5
445,4,NHG,HST,1.58,3.28,3.36
446,3,NHG,HST,1.58,3.57,3.36
447,2,NHG,QWY,1.17,1.5,1.5
448,7,NHR,HOH,3.08,4.57,4.49
449,7,NHR,PIN,2,2.5,2.5
450,2,NHT,GFD,1.93,2,2
451,2,NHT,SRP,2.25,2.52,2.5
452,7,NWD,MPK,2.55,3,3
453,7,NWD,NWH,2.2,2.5,2.5
454,7,NWH,NWD,2.23,2.5,2.5
455,7,NWH,PIN,2.48,2.5,2.5
456,1,NWM,SKT,1.58,1.5,1.5
457,1,NWM,WEM,1.92,2.06,2.06
458,7,NWP,HOH,2.32,4.53,3.03
459,7,NWP,PRR,2.05,2.35,2
460,9,OAK,CFS,2.83,3,3.09
461,9,OAK,SGT,2.37,2.5,2.5
462,8,OLD,ANG,2.43,2.5,2.5
463,8,OLD,MGT,1.37,2,1.51
464,4,OLY,ECT,2.73,3.65,3.94
465,9,OST,BOS,2.85,3,3
466,9,OST,HNE,1.52,2,2
467,8,OVL,KEN,1.7,2.81,2.91
468,8,OVL,STK,2.2,2.5,2.5
469,2,OXC,BDS,1.03,1.25,1.25
470,10,OXC,GPK,1.78,2,2.04
471,1,OXC,PIC,1.95,2.48,2.48
472,1,OXC,RPK,1.72,2,2
473,2,OXC,TCR,0.98,1.5,1.5
474,10,OXC,WST,1.53,2.48,2.04
475,4,PAD,BAY,1.65,2,2
476,4,PAD,ERD,2.15,2.5,2.5
477,1,PAD,ERD,1.57,1.5,1.5
478,1,PAD,WAR,1.63,2,2
479,3,PADc,BAY,1.65,2,2
480,3,PADc,ERD,2.15,3.71,3.72
481,5,PADs,ERD,2.33,3.71,3.72
482,5,PADs,ROA,1.33,1.5,1.5
483,2,PER,GFD,2,2.27,2.25
484,2,PER,HLN,2.1,2.25,2.26
485,4,PGR,FBY,1.48,2,2
486,4,PGR,PUT,2.32,2.5,2.5
487,1,PIC,CHX,1.35,1.5,1.5
488,9,PIC,GPK,1.18,1.5,1.5
489,9,PIC,LSQ,1.17,1.5,1.5
490,1,PIC,OXC,2.02,2.19,2.19
491,10,PIM,VIC,2.18,2.97,2.51
492,10,PIM,VUX,1.4,1.5,1.54
493,7,PIN,NHR,2.08,2.85,2.5
494,7,PIN,NWH,2.6,2.5,2.5
495,5,PLW,UPK,1.97,2,2
496,4,PLW,UPK,1.97,2,2
497,5,PLW,WHM,1.5,1.5,1.5
498,4,PLW,WHM,1.5,1.5,1.5
